Player_name,Level,Role,Overall_Score,PPS_Score,Consistency_Score,Opening_Score,Middle_Score,Death_Score,Final_Phase_Score,RSI_Score,TCS_Score,FIS_Score,Auction_price,Predicted_Price,Price_Impact_Actual,Price_Impact_Predicted,Overall_Score_Grade
Shreyas Iyer,Elite,Batter,69.87,73.69476837,70.46676487,70.57937115,71.98735643,69.19632086,70.40516344,72.36885305,68.27671011,60.44767519,2675,1780.4039641132517,4.785673393444969,3.1852081796787814,High
Nehal Wadhera,capped,Batter,69.8,72.64374713,55.61530575,73.337477,63.2696279,72.64426805,71.61546736,69.21671066,73.47923973,69.29165332,420,477.80101350839874,,,High
Ryan Rickelton,capped,Wicket Keeper,69.74,76.67815263,65.88565542,80.15806112,75.91312691,76.06800089,77.81499454,71.58246704,76.31390134,30.0,100,536.1710942577575,,,High
Rohit Sharma,Elite,Batter,69.73,79.62840697,54.38463332,73.03913635,61.35690607,69.85300308,66.26399193,75.24201244,69.87631944,61.25226083,1630,1300.5607126894652,2.9219847985085328,2.331422473629473,High
Nicholas Pooran,Elite,Wicket Keeper,69.66,66.62572117,65.15007395,71.02024387,64.72203606,70.29644738,69.54824664,76.17055812,74.03498303,51.7212908,2100,1916.2557435873878,3.768303186907838,3.43858696451943,High
Ishan Kishan,capped,Wicket Keeper,69.41,76.16791756,80.74308731,81.00127054,89.02793621,79.01647733,82.13012007,73.26875753,65.08992587,30.0,1125,1027.4868298068823,,,High
Vipraj Nigam,Uncapped,Bowler,69.23,66.2129983,85.8178729,75.22032107,83.41618923,75.8392032,79.84605441,30.0,92.25345877,81.8052226,50,148.90451661770584,0.7222302470027444,2.150866916332599,High
Devon Conway,capped,Wicket Keeper,69.01,81.0560359,65.49395201,75.94162454,76.84055708,69.9939262,73.83397962,66.6624401,78.26071321,30.0,625,743.3467963376909,,,High
Rajat Patidar,capped,Batter,68.91,67.25909708,58.25741949,74.04727423,57.70076949,71.82767217,68.14037105,66.42186236,79.39701588,63.23562291,1100,776.4864303327199,,,High
Abhishek Sharma,capped,All Rounder,68.81,89.21462508,69.60037508,74.69496133,72.6641571,76.07824913,74.36417169,55.85350858,90.79344753,30.0,1400,1092.174333101243,,,High
Faf du Plessis,capped,Batter,67.15,67.04888907,53.84906316,69.9011746,61.51929288,66.78821293,67.07877746,64.63919606,76.70437152,63.05559746,200,370.3203018312267,,,High
Angkrish Raghuvanshi,capped,Batter,66.89,69.43583479,58.83965637,70.95032541,67.45008036,65.73219081,68.15707643,68.94280308,80.52323746,30.0,300,377.2231074664156,,,High
Tilak Varma,capped,Batter,66.56,62.3575395,54.11824468,63.30767779,56.01296803,61.67150109,61.13983864,66.62445011,75.67213956,70.46331218,800,675.0828423854957,,,High
Sediqullah Atal,capped,Batter,66.25,70.26036733,66.50521711,72.84544011,68.51767205,80.19683517,76.52145283,63.81527519,74.52143374,30.0,125,247.04368681878458,,,High
Jos Buttler,Elite,Wicket Keeper,66.18,68.19485175,62.23596209,66.70144361,65.14391136,65.42982878,65.91797989,73.16020349,65.57295434,51.53552031,1575,1409.8660528423877,2.974841341795104,2.6629382986596926,High
Riyan Parag,capped,All Rounder,65.62,61.81954359,57.86673691,56.61672645,54.4698471,56.56556046,55.68419075,52.93341476,77.8019627,87.75418626,1400,1029.3688287082928,,,High
Ruturaj Gaikwad,capped,Batter,65.24,67.81935574,53.08542361,66.88678477,60.82665484,62.09185839,63.68606121,69.80018824,79.02591589,30.0,1800,1016.3665889952874,,,High
Tristan Stubbs,capped,Wicket Keeper,65.13,57.69257087,58.4199541,72.14501946,61.60922329,68.66537532,68.39895897,66.13582447,58.13436122,93.10101284,1000,1142.5200174434156,,,High
Ayush Badoni,capped,All Rounder,64.96,70.22739991,59.77483628,62.12365359,64.64581291,61.87954229,62.76022957,49.94375959,83.4407048,62.44473259,400,405.9778576420601,,,High
K L Rahul,Elite,Wicket Keeper,64.85,66.21843143,64.06613539,74.67265158,72.88350741,67.89271022,71.36048856,71.45293766,67.77033196,30.0,1400,1413.33361728429,2.6985350809560527,2.72423596238298,High
Nitish Rana,capped,Batter,64.55,66.58193881,51.70651557,77.80366368,56.9247096,73.37064034,73.34250871,66.65585184,74.92336852,30.0,420,598.6150538962928,,,High
Will Jacks,capped,All Rounder,64.27,63.3398595,58.77690783,64.42207141,55.90120985,62.49856505,59.98403624,49.16395132,78.862204,75.66959543,525,452.4485054240075,,,High
Rahmanullah Gurbaz,capped,Wicket Keeper,63.78,73.30737915,59.22280135,75.99050564,62.71602932,72.51300503,71.03448478,59.96523043,72.84120532,30.0,200,466.90333340608595,,,High
Rachin Ravindra,capped,All Rounder,63.66,67.50636058,56.27789544,68.46667557,62.12978411,61.86417231,64.0574994,57.5215882,67.08626147,70.43755028,400,398.8654111670867,,,High
David Miller,capped,Batter,63.59,68.80825792,58.59611246,75.73091844,59.74303064,73.26412265,71.37893345,59.96190471,58.95865944,69.67327287,750,577.4450083947016,,,High
Sherfane Rutherford,capped,All Rounder,63.57,74.65581751,66.17710878,70.27827907,67.42393209,73.0204246,70.38410201,61.51585165,75.41076391,30.0,260,308.2781927120636,,,High
Naman Dhir,capped,Batter,63.46,64.11707442,69.57109827,82.75316714,64.39923904,84.6841204,76.92863809,69.86449244,59.50670383,30.0,535,470.2024029620431,,,High
Shimron Hetmyer,capped,Batter,63.43,62.59523289,58.50510187,77.34603732,57.24865068,75.69890742,71.40569575,62.28970822,67.72427924,49.74230714,1100,817.1258322770894,,,High
Tim David,capped,Batter,63.32,58.40706905,55.21323636,73.63644777,54.99413205,72.36173361,68.61010673,71.42310437,58.04933504,63.76126715,300,361.4223055588539,,,High
Ashutosh Sharma,capped,All Rounder,62.82,68.67149051,60.96732029,73.57466591,67.65308035,75.84558928,73.12132722,59.36564378,65.2513906,49.85194794,380,393.09477859182243,,,High
Mayank Agarwal,capped,Batter,62.7,60.12060465,72.93502023,82.87672566,77.64037611,73.54908528,77.54833614,69.92131785,57.11689006,30.0,100,277.06570271651617,,,High
Vijay Shankar,capped,All Rounder,62.15,61.15979905,55.86312814,73.30367074,65.40755374,69.90722283,71.0610245,56.36075686,61.00312826,69.7319648,120,230.45613181692542,,,High
Rinku Singh,capped,Batter,61.65,63.68989326,60.04957151,81.19304343,58.29420804,80.70306287,75.91842525,65.46988398,61.35927346,30.0,1300,850.763883020467,,,High
Rahul Tewatia,capped,All Rounder,60.89,59.95307176,53.83259671,73.54967486,50.92091428,71.38065758,66.48814142,52.13299458,52.41104935,86.29361247,400,416.4994228208763,,,High
Prasidh Krishna,capped,Bowler,60.78,57.4393126,75.90422471,53.01056941,79.90152323,54.12055208,59.40869716,53.91301018,55.99320028,81.90116393,950,873.2720233892048,,,High
Shahrukh Khan,capped,All Rounder,60.72,70.28801019,61.98533597,72.92879784,63.53561836,74.63799189,71.30244358,30.0,68.69969199,69.60545773,400,561.8739099050449,,,High
Sunil Narine,Elite,All Rounder,60.52,62.43931724,63.73327762,59.07757694,59.35470477,59.41543815,59.30416961,53.46622426,73.7018419,48.45425533,1200,1207.0767845075966,2.478519497686715,2.4931361213392194,High
Corbin Bosch,capped,All Rounder,60.41,65.77135659,65.43585218,63.35159213,68.39090381,64.66961002,66.69157598,53.84533137,77.26139864,30.0,30,162.49498329431327,,,High
Arshad Khan,Uncapped,All Rounder,60.23,62.44466598,61.97881703,64.73162187,65.5349124,70.38667504,66.69156017,30.0,66.41010706,81.86093216,130,271.85690171930526,2.158392827494604,4.5136460521219535,High
Rishabh Pant,Elite,Wicket Keeper,60.03,59.67412772,77.36324142,75.20483044,81.01329753,77.03363699,76.91341712,58.78145858,56.42706817,30.0,2700,1786.4819124363025,5.622188905547226,3.719977328911175,High
Shivam Dube,capped,All Rounder,59.2,68.49026019,59.75827618,69.38207211,62.71279102,71.71543551,68.45253804,30.0,71.12970889,63.09545465,1200,941.7838453238841,,,Medium
Jasprit Bumrah,Elite,Bowler,59.02,57.63430997,75.26503998,52.80988183,68.23468287,53.91417536,60.72195703,53.67419157,52.80638831,71.24420317,1800,1613.7859056984125,3.8122670281260587,3.417879332638115,Medium
Harsh Dubey,Uncapped,All Rounder,58.87,63.54794316,97.72207211,67.0739332,93.98839832,75.71100963,78.83260893,30.0,61.79427648,30.0,30,85.66772342165552,0.5095974180397487,1.4552016888339652,Medium
Jaydev Unadkat,capped,Bowler,58.65,58.70240564,86.4501953,56.33784661,76.40884409,59.42723662,65.29108278,51.05192825,54.42285459,50.395884,100,261.95478841895624,,,Medium
Marco Jansen,capped,All Rounder,58.26,56.9027915,71.82188783,53.7800698,67.15708982,55.19965984,58.550378,48.45640142,55.06260169,63.09545465,700,618.393723161443,,,Medium
Venkatesh Iyer,Elite,All Rounder,58.12,64.74485474,50.0727659,64.86324328,53.38698505,61.46258863,61.63970942,53.60891406,65.97909525,51.59017626,2375,1874.1246659878707,5.107966276668961,4.030722354585063,Medium
Mustafizur Rahman,capped,Bowler,57.71,56.78209518,71.13056461,53.71611733,67.24634344,55.86179025,59.41051502,47.7036404,52.72815164,80.55316273,600,463.0921046695805,,,Medium
Eshan Malinga,capped,Bowler,57.71,59.20244546,90.5068651,57.05077941,78.34197523,61.30841795,66.19608834,50.97396518,56.43014542,30.0,120,316.7867078223075,,,Medium
Rahul Tripathi,capped,Batter,57.64,58.91430508,51.46221422,67.96457526,55.19964489,63.62905404,63.40210363,52.86506815,58.47207748,63.10343626,340,349.4746797193951,,,Medium
Quinton de Kock,capped,Wicket Keeper,57.52,60.59585833,52.35994588,62.44288199,54.72443611,64.28398059,60.45559981,62.48230875,62.01168021,30.0,360,534.5526491752007,,,Medium
Lungisani Ngidi,capped,Bowler,57.46,56.46924157,58.69803117,51.4340964,57.48092361,52.60834787,53.87553188,49.58853472,60.45732327,75.30528494,100,143.5477022620072,,,Medium
Ramandeep Singh,capped,All Rounder,57.26,60.70419681,52.59010601,72.9900313,48.99011944,74.8417386,66.40345988,50.48278419,53.71820708,63.09545465,400,355.3490607738168,,,Medium
Axar Patel,Elite,All Rounder,56.79,60.79161059,53.04012926,56.70045632,54.01009809,55.44512176,55.32220748,49.94673082,64.71931952,56.55136242,1650,1444.0407212415807,3.6318013734812467,3.178466105920014,Medium
Mathew Breetzke,capped,Wicket Keeper,56.67,61.86902072,55.98792599,71.16596576,57.5505772,71.72127785,69.98305742,55.95169158,57.20319624,30.0,75,284.31990314184515,,,Medium
Mitchell Santner,capped,All Rounder,56.64,57.22158864,64.86569574,57.22287653,63.51179056,58.26668759,59.22623481,30.0,55.33997023,82.48938105,200,229.90023877639982,,,Medium
Abhinav Manohar,capped,Batter,56.49,64.13537007,53.51202451,63.67554487,60.94981185,66.41403975,64.08103772,53.93952624,61.67533541,30.0,320,278.75330780463804,,,Medium
Krunal Pandya,capped,All Rounder,55.92,56.50179052,60.63649305,55.27900943,57.07081459,53.78670198,56.01177126,51.57496376,60.7461713,49.90884322,575,532.4139063177158,,,Medium
MS Dhoni,Elite,Wicket Keeper,55.9,58.95424571,52.70180698,61.77924325,51.84348213,62.4535348,57.21092797,55.46728771,53.37030851,59.9381107,400,884.6289538215651,0.8944543828264758,1.9781506123022476,Medium
Ashwani Kumar,Uncapped,Bowler,55.67,58.86561365,73.16485856,57.82481393,73.75974834,61.47741917,64.17106726,30.0,58.88858919,76.71876086,30,50.09343410248517,0.5388898868331238,0.8998281678190259,Medium
Noor Ahmad,capped,Bowler,55.48,58.08187545,72.72240014,62.09584117,70.12146089,64.98539991,65.39473236,50.9853245,55.7767938,30.0,1000,870.4047399005221,,,Medium
Romario Shepherd,capped,All Rounder,55.22,56.46460275,57.86736651,55.98522944,59.74931387,57.66140438,58.38476328,68.05713616,55.99276138,30.0,150,405.19534225724107,,,Medium
Nitish Kumar Reddy,capped,All Rounder,54.9,55.55752314,52.35767274,56.61182184,50.03293575,54.88819946,52.76039372,47.3037931,65.18132344,55.31600154,600,570.1287710885339,,,Medium
Washington Sundar,capped,All Rounder,54.87,61.24678772,52.26438125,57.02230801,51.94949254,56.47599083,54.81481267,30.0,80.66574141,49.89571513,320,343.2932203517446,,,Medium
Harpreet Brar,capped,Bowler,54.73,57.25902826,73.13121517,63.74106718,63.07272506,66.08652484,64.03702821,48.1851006,56.69935052,30.0,150,204.52812388846644,,,Medium
Anshul Kamboj,capped,All Rounder,54.7,57.37155594,69.54276915,59.80947579,64.87849539,60.81964478,61.85486717,30.0,53.84314678,64.08603522,340,311.5608012551214,,,Medium
Shashank Singh,capped,All Rounder,54.31,62.43640028,73.9477924,79.21187277,75.84385187,77.83957708,77.82676805,30.0,58.3793715,30.0,550,550.2671420084596,,,Medium
Prince Yadav,Uncapped,Bowler,54.29,56.4519155,66.11122863,62.85879386,67.80484956,63.1302351,64.67533452,30.0,52.05831942,89.95832487,30,87.9042151182153,0.5525879535826119,1.6191603447820098,Medium
Jake Frazer McGurk,capped,Batter,54.27,59.37621593,48.38122441,65.00341075,49.2435539,60.80761715,60.64262606,52.86487007,60.85916536,30.0,900,592.9043555293479,,,Medium
Akash Singh,Uncapped,Bowler,54.12,59.92738313,92.35843218,59.4454375,85.10689192,63.37806964,69.76828224,30.0,59.7077068,30.0,30,60.108588603986966,0.5543237250554324,1.110653891426219,Medium
Harshit Rana,capped,Bowler,54.05,62.51155322,62.02953885,56.8751769,63.54006508,58.50423297,60.44056664,30.0,59.46926527,70.35119736,400,527.1205392523993,,,Medium
Azmatullah Omarzai,capped,All Rounder,53.91,56.01341116,54.43859191,55.65332407,55.01372802,54.70428805,55.08566599,47.55001044,60.43579127,49.86679472,240,289.2137409719894,,,Medium
Yudhvir Singh Charak,Uncapped,Bowler,53.83,59.65030072,92.04747075,62.12751008,90.74185902,68.74472623,75.53545062,30.0,55.37425732,30.0,35,59.44646076618641,0.6501950585175553,1.1043370010437752,Medium
Praveen Dubey,Uncapped,All Rounder,53.76,59.42176405,85.26605343,57.12934695,74.73785209,59.79057496,63.66677802,30.0,60.04064398,30.0,30,85.66877961532336,0.5580357142857143,1.5935412874874137,Medium
Jofra Archer,capped,Bowler,53.55,59.09945443,63.36154529,58.24822145,62.10082843,57.29370819,59.88766847,30.0,62.46532062,62.48327916,1250,961.2070358193498,,,Medium
Glenn Maxwell,capped,Batter,53.49,56.8496136,51.33139405,57.81477461,51.40802672,54.84647936,54.83626422,51.6426925,62.79252299,30.0,420,367.32608868483396,,,Medium
Akash Madhwal,Uncapped,Bowler,53.41,59.08810299,89.45117048,62.5745028,87.49931032,68.15454867,73.35895661,30.0,56.39058781,30.0,120,105.59089157945404,2.2467702677401236,1.9769872978740695,Medium
Nuwan Thushara,capped,Bowler,53.36,56.02759793,70.12901046,51.79276366,66.90971872,51.8230013,57.77191867,48.15043027,56.94259047,30.0,160,217.03335256602276,,,Medium
Josh Hazlewood,Elite,Bowler,53.11,57.20922847,68.27102821,52.58759432,64.59705515,54.40349531,57.5562933,50.62475858,53.65332416,30.0,1250,1319.8169994440527,2.942007154961401,3.106328844483272,Medium
Abdul Samad,capped,All Rounder,52.85,63.35863691,51.3847942,66.90173979,52.79657072,68.45147449,65.13328327,30.0,58.06538186,55.01121507,420,535.3718879236717,,,Medium
Kuldeep Yadav,Elite,Bowler,52.81,55.4465973,56.28078351,51.79275742,53.25718136,51.48401823,52.25278039,47.53374797,54.12906302,56.15815786,1325,1361.6152583177654,3.1362431357697402,3.2229105716667426,Medium
Rovman powell,capped,Batter,52.56,57.45764208,48.45801556,67.72548136,46.89160817,63.19723788,64.15162688,49.64311659,56.23568003,30.0,150,255.31961821050544,,,Medium
Digvesh Rathi,Uncapped,Bowler,52.13,58.90375886,76.66897644,57.06187413,78.5826372,59.0542511,65.03166502,30.0,61.48266943,30.0,30,242.3026093956763,0.5754843660080567,4.648045451672287,Medium
Sai Kishore,capped,All Rounder,52.11,55.44301284,56.33019661,52.15628886,52.52147383,52.01326938,52.09861627,30.0,55.50280419,69.50706002,200,230.98935139213944,,,Medium
William O'Rourke,capped,Bowler,51.79,59.07181812,85.96715784,56.37665365,70.78143223,60.68005621,63.08575617,30.0,57.48850509,30.0,300,287.96695481137175,,,Medium
Mukesh Choudhary,Uncapped,Bowler,51.75,56.61301864,69.22513309,53.05294702,70.56228713,53.32760245,62.41835448,30.0,51.25473602,66.56318488,30,106.07863583172474,0.5797101449275363,2.0498287117241496,Medium
Madhav Tiwari,Uncapped,All Rounder,51.69,56.00242861,48.29108092,75.29278576,47.92790934,73.36296458,72.93457319,48.23371122,54.79761694,30.0,40,120.67480883526069,0.7738440704198104,2.3345871316552658,Medium
Sam Curran,capped,All Rounder,51.69,65.65899662,53.1810296,59.56895706,59.87708963,57.37906169,58.83717091,30.0,72.68567592,30.0,240,306.079068563062,,,Medium
Varun Chakaravarthy,capped,Bowler,51.69,57.08541691,63.17546864,52.95711935,62.2276405,53.58574811,56.15949597,48.22248591,53.30397149,30.0,1200,1055.0126816636546,,,Medium
Andre Russell,capped,All Rounder,51.68,59.29860972,50.82090764,54.02028111,51.64866452,53.43840504,52.92764554,30.0,68.66174734,49.96082632,1200,906.8399902281438,,,Medium
Kamindu Mendis,capped,All Rounder,51.64,55.66314938,57.59214511,62.06941661,59.96124648,57.15541768,59.70283875,47.55504698,58.41470353,30.0,75,204.45871363133296,,,Medium
Ravichandran Ashwin,Elite,All Rounder,51.42,57.50550519,56.16011271,54.91153467,53.03052297,54.49848942,53.83819584,30.0,55.93442429,60.70173025,975,1050.5293516188826,2.3701866977829638,2.5537955844488587,Medium
Kulwant Khejroliya,Uncapped,Bowler,51.16,59.23635311,85.26605343,57.19945207,74.73785209,59.79057496,63.67438519,30.0,54.78991203,30.0,30,42.767142537245554,0.5863956215793589,0.8359488377100383,Medium
Pat Cummins,Elite,Bowler,51.11,55.82564989,56.51839992,54.14833338,56.29144189,54.45699115,55.09701298,30.0,54.47854241,76.97733707,1800,1616.7261536035223,4.402269614556838,3.954035789482299,Medium
Yash Thakur,Uncapped,Bowler,51.03,56.63071925,57.95372529,50.97238808,64.60024704,50.37308373,56.52759031,30.0,56.58164388,66.15831712,160,179.42276264594207,3.13541054281795,3.516025135135059,Medium
Mohammed Siraj,capped,Bowler,50.65,54.89417754,52.08957506,50.58564432,54.32533491,49.11725918,52.34364275,30.0,52.94349319,86.14878092,1225,1122.8283993620369,,,Medium
Arshdeep Singh,Elite,Bowler,50.59,55.87017922,59.5664234,50.55803135,58.53843997,50.71529904,53.96724549,47.57859831,53.06331623,30.0,1800,1661.1860746375787,4.447519272583515,4.104531712387771,Medium
Hardik Pandya,Elite,All Rounder,50.55,57.93722078,49.61877853,54.03673712,48.13812909,52.7764685,51.65453515,51.46962319,59.39528206,30.0,1635,1423.4372004935526,4.043026706231454,3.5198743830206545,Medium
Wanindu Hasaranga,capped,All Rounder,50.42,54.9239346,53.11253167,48.86084713,52.74114222,47.87255488,49.98163726,30.0,56.74221131,62.44473259,525,437.28106134568526,,,Medium
Sandeep Sharma,capped,Bowler,50.41,56.11201838,65.51898341,52.13256937,60.67585479,52.75657108,55.72713614,30.0,52.83390886,63.769529,400,432.43455188346775,,,Medium
Lockie Ferguson,capped,Bowler,50.06,56.26412805,61.91238223,60.3304696,58.44384539,59.96627783,59.26311108,30.0,56.18832616,49.90884322,200,220.79599673211342,,,Medium
Robin Minz,Uncapped,Wicket Keeper,49.97,55.21598741,47.33602791,62.31138109,47.92790934,60.46601763,56.45384331,48.15043027,53.81043849,30.0,65,220.49775426152235,1.3007804682809687,4.412602646818538,Medium
Khaleel Ahmed,capped,Bowler,49.96,55.81868764,55.67668473,49.90342178,58.85629411,48.95819896,53.65207228,30.0,51.74814461,75.30553565,480,674.5084365434641,,,Medium
Vaibhav Arora,capped,Bowler,49.93,56.70495285,64.43953421,51.51482034,61.95582794,52.64279802,55.99864925,30.0,54.13621746,55.49391829,180,360.9334111929204,,,Medium
Tushar Deshpande,capped,Bowler,49.68,55.74907052,61.29445562,52.00819283,59.96650857,52.27190898,54.48700691,30.0,51.99612708,65.19793733,625,602.5468494233512,,,Medium
Shahbaz Ahmed,Uncapped,All Rounder,49.67,57.32146354,55.6869794,55.4213221,59.22702719,53.46909298,56.91365619,30.0,68.42575908,30.0,240,290.4866516579729,4.831890477149185,5.848332024521299,Medium
Karn Sharma,capped,Bowler,49.45,56.246465,55.19705765,53.53094228,54.79037096,53.51439571,53.89370901,30.0,54.00422707,64.11964207,50,106.30950870673891,,,Medium
Xavier Bartlett,capped,Bowler,49.44,55.20117719,51.27863815,49.25837967,52.78334233,47.76722973,50.94542499,30.0,71.57724095,30.0,80,138.17330735843134,,,Medium
Harshal Patel,capped,Bowler,49.3,55.73941946,59.99109484,50.35562111,58.47952031,50.07423663,53.07103985,30.0,55.85698629,55.19139353,800,716.0282040253799,,,Medium
Maheesh Theekshana,capped,Bowler,49.28,55.67853647,60.86167197,51.24634261,58.58136211,51.51066143,54.09404131,30.0,54.7963228,55.2675389,440,518.7766563552341,,,Medium
Kumar Kartikeya Singh,Uncapped,Bowler,49.23,55.90570874,53.23398676,55.9695511,56.38901291,54.54405279,55.61544852,30.0,66.70743279,30.0,30,47.37988483385612,0.6093845216331506,0.9624189484837725,Medium
